guest_id,age,family_size,first_visit,visit_frequency,visit_motivation,venue,education_program,spending,satisfaction,learning_score,likelihood_return,likelihood_recommend
10027,38,4,yes,First visit,Special Event,Farm,No,0.0,4.0,4.0,4.0,4.0
10028,50,6,no,Rarely,Family Time,Garden,No,11.541204022145807,3.0,2.0,4.0,3.0
10029,29,8,yes,First visit,Family Time,Farm,No,17.037891361224855,3.0,3.0,3.0,4.0
10030,39,3,yes,First visit,Nature,Dinosaurs,No,14.212423971920217,3.0,3.0,3.0,3.0
10031,61,4,yes,Monthly,Nature,Curiosity Museum,No,12.826821570781698,3.0,3.0,4.0,4.0
10032,42,6,yes,Rarely,Education,Garden,Yes,15.645613062755814,4.0,4.0,4.0,4.0
10033,66,5,yes,Rarely,Family Time,Events,No,30.342622073261463,4.0,3.0,4.0,4.0
10034,44,1,no,First visit,Family Time,Dinosaurs,No,12.143307211061748,3.0,5.0,3.0,3.0
10035,59,5,no,Quarterly,Family Time,Garden,Yes,6.388761343690955,4.0,3.0,4.0,3.0
10036,45,6,no,Quarterly,Nature,Dinosaurs,No,10.783117726678705,4.0,3.0,4.0,3.0
10037,33,5,no,Rarely,Exhibits,Events,No,23.690201396351636,5.0,2.0,5.0,5.0
10038,32,5,no,First visit,Exhibits,Garden,Yes,36.180403178148744,3.0,4.0,3.0,2.0
10039,64,6,yes,Monthly,Special Event,Events,Yes,5.577843912462325,3.0,3.0,3.0,2.0
10040,68,3,yes,Rarely,Exhibits,Farm,Yes,16.484006805433257,3.0,4.0,3.0,4.0
10041,61,3,no,Rarely,Entertainment,Events,No,20.075361629039396,3.0,3.0,3.0,2.0
10042,72,5,yes,First visit,Nature,Farm,Yes,0.11132989906765645,4.0,3.0,4.0,4.0
10043,69,6,no,Quarterly,Family Time,Garden,Yes,15.306257508193772,5.0,3.0,5.0,5.0
10044,74,3,no,Rarely,Exhibits,Farm,No,0.0,4.0,3.0,4.0,3.0
10045,20,4,no,Rarely,Nature,Garden,Yes,0.0,2.0,5.0,2.0,2.0
10046,54,5,yes,First visit,Exhibits,Garden,Yes,20.501196118383856,5.0,4.0,5.0,5.0
10047,68,4,yes,Weekly,Education,Curiosity Museum,Yes,9.241878880038257,2.0,4.0,2.0,2.0
10048,24,5,no,First visit,Family Time,Garden,No,18.034206114318287,4.0,5.0,4.0,4.0
10049,38,6,yes,Quarterly,Education,Farm,No,14.731575344874749,3.0,3.0,3.0,3.0
10050,26,5,no,Rarely,Family Time,Curiosity Museum,Yes,0.35399927004303944,4.0,3.0,4.0,4.0
10051,56,4,no,First visit,Nature,Curiosity Museum,No,14.321185470534953,3.0,4.0,3.0,3.0
10052,35,4,no,Quarterly,Special Event,Garden,No,0.0,4.0,3.0,4.0,3.0
10053,21,4,yes,First visit,Exhibits,Events,Yes,35.86458537002101,3.0,3.0,2.0,2.0
10054,42,4,no,Monthly,Exhibits,Events,Yes,0.0,3.0,3.0,3.0,2.0
10055,31,4,no,Monthly,Entertainment,Curiosity Museum,Yes,12.063220935471282,3.0,5.0,2.0,4.0
10056,67,4,no,Monthly,Education,Garden,No,0.0,2.0,3.0,3.0,1.0
10057,26,1,yes,First visit,Exhibits,Events,No,23.556317600411933,4.0,3.0,4.0,4.0
10058,43,3,no,Quarterly,Nature,Garden,Yes,10.028529430777457,5.0,3.0,5.0,5.0
10059,70,4,yes,Rarely,Special Event,Garden,No,7.219999205681848,5.0,4.0,5.0,5.0
10060,19,4,no,Monthly,Nature,Curiosity Museum,Yes,27.798023175773316,4.0,3.0,4.0,5.0
10061,37,3,yes,Quarterly,Education,Curiosity Museum,No,15.441458875163283,4.0,3.0,5.0,4.0
10062,45,5,no,Quarterly,Entertainment,Dinosaurs,No,22.749666689039508,4.0,4.0,5.0,4.0
10063,64,5,no,Rarely,Exhibits,Events,Yes,0.28011095223802795,4.0,4.0,4.0,4.0
10064,24,3,no,Rarely,Nature,Events,No,0.0,3.0,3.0,3.0,3.0
10065,61,6,yes,First visit,Family Time,Events,Yes,16.608119430602006,4.0,2.0,5.0,5.0
10066,25,4,yes,Quarterly,Special Event,Farm,No,10.217304667579032,4.0,5.0,3.0,3.0
10067,64,5,no,Rarely,Nature,Garden,Yes,24.396520086809165,3.0,5.0,3.0,4.0
10068,52,4,no,Rarely,Special Event,Curiosity Museum,No,13.801373210061755,3.0,4.0,4.0,3.0
10069,31,8,yes,Quarterly,Exhibits,Events,Yes,18.07613008851945,4.0,3.0,4.0,4.0
10070,34,5,no,Quarterly,Family Time,Dinosaurs,No,0.0,4.0,3.0,4.0,5.0
10071,53,5,no,First visit,Entertainment,Events,Yes,43.32655409421385,3.0,3.0,2.0,2.0
10072,67,5,no,Quarterly,Entertainment,Garden,No,12.536370224519521,3.0,4.0,3.0,3.0
10073,57,2,no,Rarely,Family Time,Garden,Yes,25.463804555087986,5.0,4.0,5.0,4.0
10074,21,3,no,Rarely,Special Event,Curiosity Museum,No,2.4586249467056027,4.0,3.0,4.0,4.0
10075,19,5,yes,First visit,Exhibits,Farm,Yes,19.620148533260114,5.0,3.0,5.0,4.0
10076,23,4,no,First visit,Nature,Curiosity Museum,Yes,0.0,4.0,5.0,3.0,4.0
10077,71,5,no,First visit,Family Time,Events,No,21.781017573895063,4.0,4.0,3.0,4.0
10078,59,2,yes,Quarterly,Education,Dinosaurs,Yes,9.660388734212509,4.0,5.0,5.0,4.0
10079,21,4,no,First visit,Special Event,Curiosity Museum,Yes,15.437857559033512,5.0,4.0,5.0,5.0
10080,71,4,no,Rarely,Entertainment,Farm,No,25.469610451951464,2.0,3.0,2.0,2.0
10081,46,4,no,Monthly,Family Time,Curiosity Museum,No,0.0,3.0,1.0,3.0,2.0
10082,35,5,no,First visit,Entertainment,Garden,Yes,4.732624040808045,5.0,4.0,4.0,5.0
10083,43,4,no,Rarely,Special Event,Events,No,21.85986421630148,3.0,3.0,2.0,3.0
10084,61,4,no,Quarterly,Entertainment,Events,No,46.4733221182012,3.0,3.0,2.0,2.0
10085,51,4,yes,Monthly,Family Time,Events,Yes,12.928764980077773,3.0,4.0,3.0,3.0
10086,27,4,no,Quarterly,Special Event,Events,No,23.86704176885899,3.0,2.0,3.0,2.0
10087,53,5,yes,Quarterly,Education,Events,No,13.3954279521228,3.0,4.0,3.0,3.0
10088,31,1,no,Quarterly,Family Time,Events,No,44.13368392134449,5.0,4.0,5.0,5.0
10089,48,4,no,Rarely,Nature,Dinosaurs,Yes,0.0,4.0,4.0,5.0,4.0
10090,65,4,no,Quarterly,Exhibits,Farm,No,16.41931567004037,3.0,4.0,3.0,3.0
10091,32,5,no,First visit,Family Time,Events,Yes,0.0,4.0,4.0,4.0,4.0
10092,25,4,no,Monthly,Special Event,Farm,Yes,0.0,4.0,3.0,5.0,4.0
10093,31,6,no,Rarely,Exhibits,Events,Yes,19.461930796767252,4.0,4.0,4.0,4.0
10094,40,7,no,Quarterly,Family Time,Curiosity Museum,No,17.092466942211885,4.0,3.0,4.0,4.0
10095,74,3,yes,First visit,Education,Events,No,10.72744593386698,3.0,3.0,3.0,3.0
10096,57,3,no,Quarterly,Education,Garden,No,13.407088649403702,3.0,4.0,3.0,3.0
10097,38,4,no,First visit,Nature,Dinosaurs,No,61.47449151106886,4.0,4.0,4.0,4.0
10098,33,3,no,Monthly,Entertainment,Curiosity Museum,Yes,11.127372929528484,3.0,5.0,3.0,3.0
10099,62,5,yes,Quarterly,Exhibits,Curiosity Museum,Yes,22.65186541875112,4.0,5.0,4.0,4.0
10100,35,6,yes,First visit,Special Event,Garden,Yes,5.259527705791786,4.0,4.0,4.0,4.0
10101,64,2,yes,Quarterly,Special Event,Events,Yes,19.428488625609045,4.0,1.0,4.0,5.0
10102,70,2,yes,Quarterly,Entertainment,Dinosaurs,No,11.426494874165737,2.0,4.0,2.0,2.0
10103,41,3,no,Quarterly,Education,Curiosity Museum,No,8.84222275905405,4.0,3.0,3.0,4.0
10104,43,5,no,Rarely,Education,Dinosaurs,Yes,42.28347798300487,4.0,3.0,4.0,3.0
10105,42,4,no,First visit,Family Time,Curiosity Museum,Yes,32.657774447765085,4.0,3.0,4.0,4.0
10106,62,2,yes,First visit,Nature,Events,Yes,17.05119971098846,4.0,3.0,5.0,3.0
10107,58,6,yes,First visit,Exhibits,Curiosity Museum,No,0.0,5.0,4.0,4.0,5.0
10108,46,5,yes,Monthly,Nature,Curiosity Museum,No,9.584861651211455,4.0,2.0,4.0,4.0
10109,32,1,yes,First visit,Nature,Farm,No,55.545413466076255,4.0,2.0,4.0,5.0
10110,62,5,yes,Quarterly,Family Time,Events,No,11.540075000404379,5.0,3.0,5.0,5.0
10111,18,5,yes,First visit,Nature,Garden,No,31.54826358080487,4.0,4.0,4.0,4.0
10112,42,4,no,Rarely,Entertainment,Garden,Yes,36.629136029289015,4.0,4.0,4.0,5.0
10113,24,1,no,Quarterly,Family Time,Events,Yes,18.284458737839625,4.0,3.0,4.0,5.0
10114,26,1,no,Monthly,Entertainment,Garden,No,2.372675521977716,4.0,2.0,4.0,4.0
10115,41,2,no,First visit,Family Time,Events,No,0.0,3.0,3.0,2.0,3.0
10116,18,6,no,Rarely,Nature,Garden,Yes,25.262448129134317,4.0,4.0,4.0,4.0
10117,61,6,yes,Rarely,Entertainment,Farm,No,2.7786599576467785,3.0,4.0,4.0,3.0
10118,25,2,yes,First visit,Entertainment,Garden,No,17.64225677831538,3.0,2.0,3.0,3.0
10119,41,3,no,First visit,Entertainment,Curiosity Museum,No,0.0,4.0,3.0,4.0,5.0
10120,28,3,yes,Rarely,Family Time,Events,No,11.021436892946967,4.0,2.0,4.0,3.0
10121,68,3,no,Rarely,Special Event,Dinosaurs,No,15.505785823515799,5.0,2.0,5.0,5.0
10122,34,6,no,Quarterly,Nature,Dinosaurs,No,19.02890371566447,2.0,4.0,2.0,2.0
10123,25,3,yes,Rarely,Entertainment,Events,Yes,0.0,3.0,4.0,3.0,3.0
10124,52,3,yes,Rarely,Exhibits,Farm,Yes,32.953664231420284,4.0,4.0,4.0,5.0
10125,52,3,no,Rarely,Special Event,Garden,Yes,6.046578229020431,5.0,5.0,5.0,5.0
10126,50,5,yes,Quarterly,Exhibits,Farm,Yes,0.0,4.0,3.0,4.0,4.0
10127,22,4,yes,Monthly,Nature,Dinosaurs,No,13.364648700548043,4.0,3.0,4.0,5.0
10128,59,5,no,Rarely,Nature,Events,No,15.515629635396902,3.0,5.0,3.0,3.0
10129,56,3,no,Quarterly,Entertainment,Events,Yes,17.408841497576397,3.0,4.0,2.0,3.0
10130,58,5,yes,First visit,Entertainment,Farm,No,35.431986055276184,4.0,4.0,5.0,5.0
10131,45,5,no,Rarely,Family Time,Farm,Yes,11.453267448962109,3.0,4.0,3.0,4.0
10132,24,2,no,First visit,Special Event,Garden,Yes,13.20570563446843,3.0,2.0,3.0,3.0
10133,26,4,no,Rarely,Special Event,Curiosity Museum,Yes,0.0,4.0,2.0,4.0,4.0
10134,25,6,no,Quarterly,Entertainment,Curiosity Museum,Yes,27.308302543318455,3.0,3.0,3.0,2.0
10135,29,6,no,Monthly,Nature,Garden,Yes,17.764635961171553,5.0,5.0,5.0,5.0
10136,51,4,no,First visit,Entertainment,Curiosity Museum,No,8.699584090587557,4.0,4.0,3.0,3.0
10137,50,4,no,Quarterly,Nature,Dinosaurs,No,0.0,2.0,4.0,2.0,2.0
10138,65,6,yes,Quarterly,Nature,Curiosity Museum,No,36.66618292582631,3.0,2.0,3.0,2.0
10139,72,4,no,First visit,Entertainment,Garden,Yes,0.0,2.0,5.0,2.0,2.0
10140,40,1,yes,First visit,Education,Curiosity Museum,Yes,6.1308298594544155,3.0,3.0,3.0,3.0
10141,41,6,yes,First visit,Special Event,Events,Yes,20.375167666140047,4.0,4.0,3.0,4.0
10142,54,3,yes,First visit,Exhibits,Farm,No,0.0,3.0,3.0,3.0,3.0
10143,52,4,no,First visit,Nature,Dinosaurs,Yes,0.0,4.0,4.0,4.0,5.0
10144,61,3,no,First visit,Nature,Events,No,0.0,2.0,4.0,2.0,2.0
10145,57,1,yes,First visit,Education,Events,No,25.81495429358453,4.0,3.0,5.0,4.0
10146,39,3,yes,Quarterly,Exhibits,Garden,No,6.822206329105175,3.0,2.0,2.0,3.0
10147,44,5,no,Quarterly,Family Time,Farm,No,58.90905138709995,4.0,3.0,4.0,5.0
10148,52,3,no,Weekly,Education,Farm,Yes,0.08467401553689913,4.0,3.0,4.0,4.0
10149,18,3,yes,Rarely,Exhibits,Dinosaurs,Yes,1.178234648566181,3.0,5.0,3.0,3.0
10150,52,3,no,Quarterly,Education,Garden,Yes,6.519105445718978,3.0,4.0,3.0,2.0
10151,54,4,no,Monthly,Nature,Dinosaurs,No,18.647019827077337,4.0,3.0,4.0,4.0
10152,64,7,no,Quarterly,Special Event,Curiosity Museum,Yes,7.94694991822033,4.0,3.0,4.0,4.0
10153,31,4,yes,Rarely,Education,Events,Yes,24.18498321003768,4.0,2.0,4.0,4.0
10154,20,4,no,Quarterly,Family Time,Dinosaurs,No,0.32117415017018425,4.0,2.0,4.0,3.0
10155,18,6,no,First visit,Entertainment,Events,Yes,0.0,4.0,4.0,4.0,4.0
10156,22,4,no,First visit,Exhibits,Garden,No,0.0,2.0,4.0,2.0,3.0
10157,43,3,no,Rarely,Education,Curiosity Museum,No,0.0,3.0,4.0,3.0,4.0
10158,72,3,no,Quarterly,Education,Garden,Yes,7.228964707874148,4.0,4.0,4.0,4.0
10159,31,3,yes,First visit,Family Time,Curiosity Museum,Yes,10.485295314101672,5.0,4.0,5.0,5.0
10160,56,4,no,Monthly,Special Event,Curiosity Museum,Yes,5.528444587752251,4.0,4.0,4.0,3.0
10161,44,4,no,Quarterly,Education,Events,No,33.65108695780743,5.0,3.0,5.0,5.0
10162,26,5,yes,Rarely,Education,Garden,No,33.42045314412203,4.0,5.0,4.0,4.0
10163,32,3,no,Monthly,Special Event,Garden,No,9.977955188332471,3.0,3.0,3.0,3.0
10164,32,4,yes,Rarely,Family Time,Dinosaurs,No,0.0,4.0,3.0,4.0,3.0
10165,43,5,yes,Weekly,Exhibits,Garden,No,6.499423379174206,4.0,1.0,4.0,4.0
10166,59,4,no,Rarely,Exhibits,Dinosaurs,Yes,6.002679091244076,3.0,4.0,2.0,3.0
10167,30,6,no,First visit,Education,Farm,Yes,5.14297556582913,3.0,4.0,4.0,3.0
10168,68,4,no,Quarterly,Special Event,Farm,No,4.534216441526327,3.0,2.0,2.0,3.0
10169,49,3,yes,Quarterly,Education,Farm,Yes,5.198056564127892,5.0,3.0,5.0,5.0
10170,56,5,no,Quarterly,Entertainment,Garden,Yes,9.201875761533604,2.0,4.0,2.0,2.0
10171,66,4,yes,Weekly,Exhibits,Garden,No,5.46688351776665,4.0,2.0,4.0,4.0
10172,69,4,no,Quarterly,Nature,Dinosaurs,No,18.124837629383883,3.0,4.0,4.0,3.0
10173,49,4,no,Quarterly,Entertainment,Curiosity Museum,No,20.405530738572917,3.0,3.0,2.0,3.0
10174,21,4,no,Monthly,Education,Dinosaurs,No,1.3403236922626527,4.0,3.0,4.0,4.0
10175,47,5,no,Quarterly,Family Time,Farm,Yes,34.065979890105496,4.0,3.0,3.0,3.0
10176,54,2,yes,Rarely,Exhibits,Dinosaurs,No,0.2990654723907926,4.0,4.0,4.0,4.0
10177,40,3,no,Monthly,Nature,Curiosity Museum,Yes,0.0,4.0,5.0,4.0,5.0
10178,56,1,no,First visit,Entertainment,Garden,Yes,20.711671070475777,5.0,4.0,5.0,5.0
10179,62,5,no,Quarterly,Exhibits,Dinosaurs,No,2.738877983784903,4.0,3.0,4.0,4.0
10180,32,3,no,Monthly,Special Event,Farm,Yes,19.81937206136082,4.0,5.0,5.0,4.0
10181,60,6,yes,Quarterly,Family Time,Farm,No,0.0,4.0,3.0,4.0,4.0
10182,46,4,yes,Quarterly,Entertainment,Garden,Yes,35.886839122246016,5.0,5.0,5.0,5.0
10183,53,6,no,Quarterly,Special Event,Dinosaurs,No,25.08440112060603,3.0,4.0,2.0,3.0
10184,30,7,yes,Rarely,Education,Curiosity Museum,Yes,0.0,3.0,1.0,3.0,3.0
10185,49,6,yes,Monthly,Special Event,Garden,No,0.0,3.0,2.0,3.0,2.0
10186,24,6,no,First visit,Entertainment,Dinosaurs,No,40.08398856146292,2.0,4.0,3.0,2.0
10187,68,4,no,First visit,Entertainment,Events,Yes,3.9393014475306183,4.0,4.0,4.0,3.0
10188,39,4,no,First visit,Education,Farm,Yes,2.4872272690106403,2.0,3.0,3.0,2.0
10189,45,3,no,Rarely,Special Event,Curiosity Museum,Yes,0.0,4.0,3.0,4.0,5.0
10190,19,3,no,Rarely,Special Event,Curiosity Museum,Yes,9.738326915976687,4.0,2.0,4.0,4.0
10191,59,4,yes,Quarterly,Education,Curiosity Museum,No,11.584205777463707,3.0,3.0,3.0,3.0
10192,62,4,yes,Rarely,Special Event,Farm,No,25.73239645154228,5.0,5.0,5.0,5.0
10193,74,3,yes,Rarely,Exhibits,Dinosaurs,Yes,0.0,3.0,4.0,3.0,4.0
10194,70,4,no,First visit,Education,Garden,Yes,0.0,5.0,5.0,5.0,5.0
10195,23,6,no,Rarely,Family Time,Dinosaurs,Yes,21.76443952164715,4.0,5.0,4.0,4.0
10196,45,4,no,Quarterly,Entertainment,Garden,No,30.100951068405973,2.0,4.0,1.0,1.0
10197,45,5,no,First visit,Family Time,Curiosity Museum,Yes,0.0,5.0,5.0,5.0,5.0
10198,61,6,no,First visit,Exhibits,Dinosaurs,No,31.22271129449612,3.0,4.0,3.0,4.0
10199,61,7,yes,First visit,Exhibits,Curiosity Museum,No,15.563127622302321,3.0,3.0,3.0,3.0
10200,37,5,no,First visit,Nature,Events,Yes,31.377080086119687,3.0,5.0,4.0,2.0
10201,47,6,yes,Rarely,Nature,Curiosity Museum,No,13.946694577235752,3.0,4.0,3.0,3.0
10202,28,7,yes,First visit,Nature,Curiosity Museum,No,0.0,3.0,3.0,4.0,3.0
10203,72,6,yes,Quarterly,Education,Garden,No,12.720489265259417,4.0,3.0,4.0,4.0
10204,45,2,no,Quarterly,Special Event,Events,Yes,30.902157280069048,4.0,4.0,3.0,5.0
10205,42,4,no,Rarely,Exhibits,Curiosity Museum,Yes,1.5938097137442853,4.0,4.0,5.0,4.0
10206,56,3,yes,Weekly,Family Time,Curiosity Museum,No,9.180525466388216,3.0,4.0,3.0,3.0
10207,50,1,yes,Rarely,Family Time,Events,No,12.357997446735325,2.0,2.0,2.0,2.0
10208,18,5,no,Rarely,Family Time,Events,No,0.0,3.0,5.0,3.0,3.0
10209,74,5,yes,Weekly,Family Time,Dinosaurs,No,40.07021363156214,2.0,3.0,2.0,2.0
10210,44,6,no,First visit,Nature,Garden,No,1.4793648015423826,4.0,3.0,4.0,4.0
10211,74,2,no,Monthly,Family Time,Events,No,22.586031487091983,3.0,2.0,2.0,4.0
10212,69,6,no,First visit,Special Event,Events,Yes,13.699482957776869,4.0,5.0,3.0,5.0
10213,30,5,no,Rarely,Nature,Farm,No,33.8642858453904,4.0,3.0,4.0,3.0
10214,58,5,yes,First visit,Family Time,Events,No,21.090841836421212,3.0,3.0,3.0,2.0
10215,20,6,no,Quarterly,Education,Garden,No,11.47613592718538,4.0,4.0,4.0,4.0
10216,56,5,no,Quarterly,Entertainment,Curiosity Museum,No,1.5972736122107971,3.0,4.0,2.0,2.0
10217,23,3,no,Quarterly,Entertainment,Curiosity Museum,Yes,26.96776052073208,5.0,4.0,5.0,5.0
10218,25,6,yes,Rarely,Entertainment,Curiosity Museum,No,0.0,3.0,4.0,4.0,3.0
10219,44,4,no,Rarely,Nature,Curiosity Museum,No,24.688356304138388,3.0,3.0,3.0,4.0
10220,26,1,no,First visit,Family Time,Farm,Yes,0.0,4.0,3.0,4.0,4.0
10221,54,6,yes,First visit,Exhibits,Events,No,33.7842549293496,3.0,2.0,4.0,3.0
10222,50,3,no,Monthly,Exhibits,Curiosity Museum,Yes,17.41949313994043,3.0,3.0,4.0,2.0
10223,68,5,no,Rarely,Exhibits,Dinosaurs,Yes,24.66185651775163,3.0,5.0,3.0,3.0
10224,59,4,no,Quarterly,Nature,Curiosity Museum,Yes,16.22983220737079,4.0,5.0,5.0,4.0
10225,61,6,yes,Quarterly,Special Event,Events,No,0.0,4.0,3.0,4.0,4.0
10226,41,3,no,Rarely,Education,Curiosity Museum,No,2.089062549069923,2.0,5.0,2.0,2.0
10227,32,7,no,Quarterly,Education,Farm,No,25.085840064170736,4.0,3.0,3.0,4.0
10228,71,5,no,First visit,Entertainment,Garden,No,17.49983726039766,4.0,3.0,4.0,3.0
10229,49,2,yes,First visit,Entertainment,Garden,No,32.71484857958508,4.0,3.0,4.0,3.0
10230,49,4,no,First visit,Exhibits,Events,Yes,21.049118445557575,5.0,4.0,5.0,4.0
10231,41,7,yes,Quarterly,Exhibits,Garden,Yes,0.4994716394601034,4.0,4.0,4.0,3.0
10232,58,4,no,Rarely,Entertainment,Garden,No,3.05903793419049,3.0,4.0,4.0,3.0
10233,69,3,no,Rarely,Family Time,Dinosaurs,Yes,16.543760857848557,4.0,4.0,3.0,4.0
10234,66,4,yes,Rarely,Special Event,Events,No,0.0,4.0,4.0,4.0,4.0
10235,66,4,no,Rarely,Special Event,Events,No,40.10162828434478,3.0,4.0,3.0,3.0
10236,69,5,yes,Quarterly,Special Event,Garden,No,21.626201045663358,4.0,4.0,4.0,2.0
10237,29,5,no,Quarterly,Special Event,Garden,No,33.405518955733086,3.0,2.0,3.0,4.0
10238,56,4,no,First visit,Entertainment,Garden,Yes,0.0,3.0,3.0,4.0,2.0
10239,19,3,no,First visit,Education,Farm,Yes,33.66847740532884,3.0,4.0,2.0,3.0
10240,20,5,yes,Quarterly,Entertainment,Curiosity Museum,No,48.47248366541623,4.0,3.0,4.0,3.0
10241,66,4,no,Rarely,Special Event,Farm,Yes,0.0,1.0,4.0,1.0,1.0
10242,54,2,yes,Quarterly,Entertainment,Events,No,26.5710269235565,4.0,3.0,4.0,4.0
10243,66,6,yes,First visit,Special Event,Dinosaurs,Yes,15.016649170309398,4.0,5.0,4.0,4.0
10244,73,5,no,Rarely,Nature,Curiosity Museum,No,0.0,2.0,2.0,2.0,2.0
10245,34,5,yes,First visit,Exhibits,Dinosaurs,No,22.393259577778046,4.0,2.0,5.0,5.0
10246,66,6,no,First visit,Education,Events,No,27.504048072560227,4.0,3.0,4.0,4.0
10247,19,4,no,Quarterly,Nature,Events,Yes,5.983101709967297,4.0,3.0,4.0,4.0
10248,19,6,yes,Rarely,Family Time,Dinosaurs,Yes,32.488747803828346,2.0,4.0,2.0,2.0
10249,45,4,yes,Quarterly,Entertainment,Dinosaurs,No,0.0,4.0,4.0,4.0,3.0
10250,71,1,no,Monthly,Family Time,Dinosaurs,Yes,0.0,3.0,5.0,2.0,3.0
10251,40,4,yes,Rarely,Entertainment,Events,No,17.048960933831285,4.0,2.0,4.0,4.0
10252,54,4,no,Quarterly,Exhibits,Garden,No,15.380779169584075,4.0,3.0,4.0,5.0
10253,49,5,no,First visit,Nature,Dinosaurs,No,4.251397673638422,3.0,4.0,3.0,2.0
10254,50,2,no,Rarely,Exhibits,Curiosity Museum,No,27.14391653957829,4.0,4.0,4.0,3.0
10255,18,2,no,Quarterly,Special Event,Events,Yes,22.96341471323924,3.0,5.0,3.0,3.0
10256,36,3,yes,Rarely,Exhibits,Farm,No,27.87208606401024,2.0,4.0,3.0,2.0
10257,19,3,yes,Quarterly,Exhibits,Farm,No,13.152953469715985,4.0,3.0,3.0,4.0
10258,70,5,no,First visit,Special Event,Curiosity Museum,No,24.038704019675112,3.0,2.0,3.0,3.0
10259,61,3,no,Quarterly,Entertainment,Garden,No,8.31524545455008,3.0,3.0,3.0,3.0
10260,43,5,no,Monthly,Special Event,Dinosaurs,No,45.80728035129895,3.0,3.0,3.0,3.0
10261,49,4,yes,Monthly,Nature,Events,Yes,2.8118134481702164,4.0,4.0,4.0,4.0
10262,23,4,yes,Quarterly,Exhibits,Dinosaurs,Yes,46.57946144187468,4.0,4.0,4.0,4.0
10263,49,6,yes,Quarterly,Special Event,Events,No,15.523319206341128,4.0,2.0,4.0,4.0
10264,72,4,no,Quarterly,Exhibits,Farm,Yes,0.0,3.0,3.0,4.0,4.0
10265,21,5,no,Quarterly,Nature,Dinosaurs,No,35.52119025732902,3.0,4.0,3.0,4.0
10266,72,4,no,First visit,Family Time,Curiosity Museum,No,16.888520825924385,3.0,3.0,3.0,3.0
10267,28,4,no,Rarely,Nature,Garden,Yes,27.766861475703568,5.0,4.0,5.0,3.0
10268,73,7,yes,Rarely,Education,Curiosity Museum,Yes,33.3578387781389,4.0,4.0,4.0,5.0
10269,34,3,no,Weekly,Education,Garden,No,20.069333312175377,4.0,5.0,5.0,4.0
10270,55,1,no,Rarely,Education,Dinosaurs,Yes,6.116387327807781,4.0,4.0,4.0,5.0
10271,41,5,no,Rarely,Exhibits,Dinosaurs,No,29.63570066503875,3.0,3.0,3.0,4.0
